id,name,code,level,sort_order,capacity,is_active,created_at,updated_at,academic_year_id,class_teacher_id
1,NURSERY 1,NUR1,Nursery,1,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
2,NURSERY 2,NUR2,Nursery,2,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
3,NURSERY 3,NUR3,Nursery,3,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
4,PRIMARY 1,PRI1,Primary,4,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
5,PRIMARY 2,PRI2,Primary,5,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
6,PRIMARY 3,PRI3,Primary,6,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
7,PRIMARY 4,PRI4,Primary,7,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
8,PRIMARY 5,PRI5,Primary,8,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,
9,PRIMARY 6,PRI6,Primary,9,40,true,2026-07-07 01:55:07.592848+00,2026-07-07 01:55:07.592848+00,1,
